,datetime,symbol_CAPITALCOM:DE40,open_CAPITALCOM:DE40,high_CAPITALCOM:DE40,low_CAPITALCOM:DE40,close_CAPITALCOM:DE40,volume_CAPITALCOM:DE40,symbol_CAPITALCOM:UK100,open_CAPITALCOM:UK100,high_CAPITALCOM:UK100,low_CAPITALCOM:UK100,close_CAPITALCOM:UK100,volume_CAPITALCOM:UK100,symbol_CAPITALCOM:SP35,open_CAPITALCOM:SP35,high_CAPITALCOM:SP35,low_CAPITALCOM:SP35,close_CAPITALCOM:SP35,volume_CAPITALCOM:SP35,symbol_CAPITALCOM:US500,open_CAPITALCOM:US500,high_CAPITALCOM:US500,low_CAPITALCOM:US500,close_CAPITALCOM:US500,volume_CAPITALCOM:US500,symbol_OANDA:FR40EUR,open_OANDA:FR40EUR,high_OANDA:FR40EUR,low_OANDA:FR40EUR,close_OANDA:FR40EUR,volume_OANDA:FR40EUR,rolling_sentiment
0,2024-06-11 08:00:00,CAPITALCOM:DE40,18508.5,18551.0,18508.5,1.0,888.0,CAPITALCOM:UK100,8232.5,8265.0,8232.5,1.0,883.0,CAPITALCOM:SP35,11357.4,11375.4,11355.9,1.0,198.0,CAPITALCOM:US500,5361.3,5365.3,5361.3,1.0,506.0,OANDA:FR40EUR,7905.0,7921.6,7902.0,1.0,1067.0,
1,2024-06-11 09:00:00,CAPITALCOM:DE40,18525.5,18541.5,18499.0,0.9989957616823693,2353.0,CAPITALCOM:UK100,8252.0,8263.5,8231.9,0.9978306974489488,2815.0,CAPITALCOM:SP35,11372.9,11372.9,11292.6,0.993211635186944,2287.0,CAPITALCOM:US500,5361.8,5362.6,5357.6,0.9994963908007388,904.0,OANDA:FR40EUR,7915.3,7929.8,7894.8,0.9999620987202,5391.0,
2,2024-06-11 10:00:00,CAPITALCOM:DE40,18502.4,18525.9,18474.4,0.9975110007288828,1618.0,CAPITALCOM:UK100,8233.9,8235.9,8212.1,0.9953220626552748,1689.0,CAPITALCOM:SP35,11294.2,11329.0,11283.0,0.9927104217227676,1634.0,CAPITALCOM:US500,5358.8,5360.8,5354.6,0.9987876074832596,625.0,OANDA:FR40EUR,7915.0,7924.5,7884.8,0.9962983083395448,4076.0,
3,2024-06-11 11:00:00,CAPITALCOM:DE40,18467.4,18489.9,18366.4,0.9917069351834356,2746.0,CAPITALCOM:UK100,8207.6,8211.4,8167.4,0.9898321517299884,2411.0,CAPITALCOM:SP35,11281.0,11293.5,11229.0,0.9874784566142591,2338.0,CAPITALCOM:US500,5353.6,5354.8,5347.1,0.9973513886557364,1428.0,OANDA:FR40EUR,7886.0,7902.0,7822.5,0.9882758707819034,5465.0,
4,2024-06-11 12:00:00,CAPITALCOM:DE40,18368.4,18399.9,18349.4,0.9930027265610236,2762.0,CAPITALCOM:UK100,8167.9,8172.6,8159.6,0.990292674059262,2710.0,CAPITALCOM:SP35,11229.5,11229.5,11188.0,0.9863793042805388,2606.0,CAPITALCOM:US500,5346.8,5350.8,5344.1,0.9978176934698674,1298.0,OANDA:FR40EUR,7822.5,7832.8,7798.8,0.9883643071014364,4898.0,
5,2024-06-11 13:00:00,CAPITALCOM:DE40,18389.4,18392.9,18312.9,0.9902491698836487,2152.0,CAPITALCOM:UK100,8170.4,8170.9,8143.6,0.988450584742168,2310.0,CAPITALCOM:SP35,11215.5,11220.0,11159.0,0.9815870001055188,2019.0,CAPITALCOM:US500,5349.1,5349.6,5341.6,0.9972954320780408,1275.0,OANDA:FR40EUR,7823.2,7824.8,7784.0,0.984991093199247,4558.0,
6,2024-06-11 14:00:00,CAPITALCOM:DE40,18339.9,18384.4,18332.9,0.9908160786113436,1697.0,CAPITALCOM:UK100,8155.9,8162.2,8134.7,0.9865115433557536,2059.0,CAPITALCOM:SP35,11162.0,11180.0,11136.0,0.9806197460518448,2085.0,CAPITALCOM:US500,5346.6,5350.8,5344.8,0.9974446496185628,895.0,OANDA:FR40EUR,7796.5,7808.8,7783.8,0.9848015868002477,4061.0,
7,2024-06-11 15:00:00,CAPITALCOM:DE40,18349.9,18390.4,18276.9,0.990789082957644,2839.0,CAPITALCOM:UK100,8139.9,8152.7,8113.7,0.9866327334424044,3775.0,CAPITALCOM:SP35,11151.0,11182.0,11108.5,0.9813232035454258,3267.0,CAPITALCOM:US500,5347.3,5350.1,5325.9,0.9947960382742992,2140.0,OANDA:FR40EUR,7795.0,7809.2,7755.5,0.9845489116015818,6398.0,-2.0
8,2024-06-11 16:00:00,CAPITALCOM:DE40,18345.9,18395.8,18326.4,0.9926733795858866,2541.0,CAPITALCOM:UK100,8140.4,8158.3,8133.2,0.987917348360904,3246.0,CAPITALCOM:SP35,11158.0,11202.6,11149.0,0.9848492842320004,2792.0,CAPITALCOM:US500,5332.9,5353.5,5331.4,0.9985451289799115,2205.0,OANDA:FR40EUR,7793.0,7804.2,7783.0,0.9845236440817152,5789.0,-6.0
9,2024-06-11 17:00:00,CAPITALCOM:DE40,18385.3,18389.3,18339.5,0.9905785168587856,2006.0,CAPITALCOM:UK100,8151.6,8155.3,8137.6,0.9863782342604376,2057.0,CAPITALCOM:SP35,11199.6,11203.6,11165.5,0.9835215082128664,1426.0,CAPITALCOM:US500,5353.2,5354.2,5343.2,0.9969596926118665,1986.0,OANDA:FR40EUR,7792.8,7795.2,7776.0,0.9826917488913876,3182.0,-6.0
